,brand,model,network_speed,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,audio_jack,bluetooth,GPS,NFC,radio,battery,approx_price_EUR,img_url,GSM,LTE,DualSim,NumberOfCores,li-ion,li-po,AMOLED,([^\w]|\b)OLED,TFT,LCD,Android,Windows,iOS
4898,LG,KF311,Yes  384 kbps,Yes,,2009,94 x 47 x 16.8 mm (3.70 x 1.85 x 0.66 in),95.0,Mini-SIM,TFT  256K colors,2.0 inches (~28.5% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),45 MB,,2 MP,VGA videocall camera,No,Yes,,,No,Removable Li-Ion 900 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/lg-kf311.jpg,GSM,,,1,Yes,,,,TFT,,,,
4899,Lenovo,Yoga Tablet 2 Pro,HSPA  LTE,Yes,Yes,2014,-,948.0,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,13.3 inches| 13.3 (~48.8% screen-to-body ratio),2560 x 1440 pixels (~221 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.33 GHz,Intel Atom Z3745,Intel Gen 7 (Ivy Bridge),microSD  up to 64 GB (dedicated slot),32 GB,2 GB RAM,8 MP| autofocus,1.6 MP,Yes,Yes,Yes,,No,Non-removable Li-Ion 9600 mAh battery,410.0,http://cdn2.gsmarena.com/vv/bigpic/lenovo-tablet-yoga-tablet-2-pro.jpg,GSM,LTE,,4,Yes,,,,,LCD,Yes,,
4900,Icemobile,Rock 2.4,,Yes,,2014,120 x 50 x 13.8 mm (4.72 x 1.97 x 0.54 in),60.0,Dual SIM (Mini-SIM),TFT,2.4 inches (~30.2% screen-to-body ratio),176 x 220 pixels (~117 ppi pixel density),,,,,microSD  up to 8 GB,32 MB ,32 MB,VGA,No,No,Yes,,,FM radio,Removable Li-Ion 1000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rock-24.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4901,Micromax,X288,,Yes,,2012,113.7 x 49 x 15.8 mm (4.48 x 1.93 x 0.62 in),61.7,Dual SIM (Mini-SIM),TFT  256K colors,2.4 inches (~32.0% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,,,FM radio,Removable Li-Ion battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-x288.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4902,Toshiba,Excite 13 AT335,HSPA,Yes,Yes,2012,343.8 x 211.2 x 9.8 mm (13.54 x 8.31 x 0.39 in),998.0,Mini-SIM,LED-backlit IPS LCD capacitive touchscreen  16M colors,13.3 inches (~88.8% screen-to-body ratio),1600 x 900 pixels (~120 ppi pixel density),Android 4.0 (Ice Cream Sandwich),Quad-core 1.5 GHz,Nvidia Tegra 3,ULP GeForce 2,SD/microSD  up to 32 GB (dedicated slot),32/64 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Yes,,No,Non-removable Li-Po battery (38 Wh),540.0,http://cdn2.gsmarena.com/vv/bigpic/toshiba-excite-13-AT335.jpg,GSM,,,4,,Yes,,,,LCD,Yes,,
4903,alcatel,10.16G,,Yes,,2015,108.5 x 45 x 12.6 mm (4.27 x 1.77 x 0.50 in),63.0,Mini-SIM,TFT,1.8 inches,-,,,,,No,4 MB,,,,,Yes,,,FM radio,Removable Li-Ion 400 mAh battery,20.0,http://cdn2.gsmarena.com/vv/bigpic/alcatel-10-16g.jpg,GSM,,,1,Yes,,,,TFT,,,,
4904,Samsung,Gear S3 frontier LTE,HSPA  LTE,Yes,Yes,2016,49 x 46 x 12.9 mm (1.93 x 1.81 x 0.51 in),63.0,Electronic SIM card (e-SIM),Super AMOLED capacitive touchscreen  16M colors,1.3 inches (~48.1% screen-to-body ratio),360 x 360 pixels (~278 ppi pixel density),Tizen-based wearable platform 2.3.2,Dual-core 1.0 GHz,Exynos 7270,,No,4 GB,768 MB RAM,,,No,Yes,Yes,Yes,No,Non-removable Li-Ion 380 mAh battery,450.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-gear-s3-frontier-lte.jpg,GSM,LTE,,2,Yes,,AMOLED,,,,,,
4905,Spice,M-5460 Flo,,Yes,,2012,96 x 54 x 13.5 mm (3.78 x 2.13 x 0.53 in),63.0,Dual SIM (Mini-SIM),TFT touchscreen  56K colors,2.6 inches (~40.4% screen-to-body ratio),240 x 320 pixels (~154 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,Yes. LED flash,No,,Yes,,,FM radio,Removable Li-Ion 1000 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/spice-m-5460.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4906,verykool,i125,,Yes,,2012,107 x 45 x 12 mm (4.21 x 1.77 x 0.47 in),63.0,Dual SIM (Mini-SIM),TFT,1.8 inches (~19.2% screen-to-body ratio),-,,,,,microSD (dedicated slot),,,VGA,No,No,Yes,,,FM radio,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i125.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4907,verykool,i122,,Yes,,2011,107 x 45 x 13 mm (4.21 x 1.77 x 0.51 in),63.0,Mini-SIM,TFT,1.8 inches (~19.2% screen-to-body ratio),-,,,,,microSD (dedicated slot),,,VGA,No,No,Yes,,,FM radio,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i122.jpg,GSM,,,1,Yes,,,,TFT,,,,
4908,Plum,Whiz,,Yes,,2011,111.4 x 57.1 x 16.1 mm (4.39 x 2.25 x 0.63 in),63.8,Dual SIM (Mini-SIM| dual stand-by),TFT,2.0 inches (~19.5% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),64 MB ROM,32 MB RAM,1.3 MP| LED flash,No,No,Yes,,,FM radio,Removable Li-Ion 1000 mAh battery (BL-4L),,http://cdn2.gsmarena.com/vv/bigpic/plum-whiz.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4909,LG,KP100,,Yes,,2008,99.8 x 45.5 x 12.9 mm (3.93 x 1.79 x 0.51 in),65.0,Mini-SIM,CSTN  65K colors,1.5 inches (~16.0% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,1 MB,,,,No,Yes,,,No,Removable Li-Ion 900 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/lg-kp100.jpg,GSM,,,1,Yes,,,,,,,,
4910,Motorola,WX294,,Yes,Yes,2011,107 x 45 x 12.9 mm (4.21 x 1.77 x 0.51 in),65.0,Dual SIM (Mini-SIM| dual stand-by),TFT  65K colors,1.8 inches (~21.2% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot)  2 GB included,8 MB / 16 MB,,VGA| LED flash,No,Yes,Yes,,,FM radio,Removable Li-Ion 750 mAh battery,80.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-wx294.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4911,Plum,Spare,,Yes,,2011,102 x 45 x 13.6 mm (4.02 x 1.77 x 0.54 in),65.0,Dual SIM (Mini-SIM| dual stand-by),TFT,1.77 inches (~21.1% screen-to-body ratio),240 x 320 pixels (~226 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),64 MB ,32 MB,VGA,No,No,Yes,,,FM radio,Removable Li-Ion 700 mAh battery (BL-5B),,http://cdn2.gsmarena.com/vv/bigpic/plum-spare.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4912,verykool,i121C,,Yes,,2013,109 x 44 x 13 mm (4.29 x 1.73 x 0.51 in),65.0,Dual SIM (Mini-SIM),TFT,1.77 inches (~20.6% screen-to-body ratio),128 x 160 pixels (~116 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,,Yes,,,FM radio,Removable Li-Ion 650 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i121c.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4913,verykool,i121,,Yes,,2013,109 x 44 x 13 mm (4.29 x 1.73 x 0.51 in),65.0,Dual SIM (Mini-SIM),TFT,1.77 inches (~20.6% screen-to-body ratio),128 x 160 pixels (~116 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,,,,Yes,,,FM radio,Removable Li-Ion 650 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i121.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4914,Plum,Profile,,Yes,,2011,94.2 x 45 x 18.5 mm (3.71 x 1.77 x 0.73 in),65.7,Dual SIM (Mini-SIM| dual stand-by),TFT,1.77 inches (~22.9% screen-to-body ratio),240 x 320 pixels (~226 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),32 MB ROM,32 MB RAM,1.3 MP,No,No,Yes,,,FM radio,Removable Li-Ion 800 mAh battery (BL-4C),,http://cdn2.gsmarena.com/vv/bigpic/plum-profile.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4915,LG,A270,,Yes,,2011,107.2 x 44.9 x 14.6 mm (4.22 x 1.77 x 0.57 in),65.8,Mini-SIM,TFT  65K colors,1.45 inches (~14.1% screen-to-body ratio),128 x 128 pixels (~125 ppi pixel density),,,,,miniSD  up to 2 GB,4 MB,,,,Yes,Yes,,,FM radio,Removable Li-Ion 950 mAh battery,20.0,http://cdn2.gsmarena.com/vv/bigpic/lg-a270.jpg,GSM,,,1,Yes,,,,TFT,,,,
4916,Celkon,C444,,Yes,,2011,108 x 46 x 14.3 mm (4.25 x 1.81 x 0.56 in),67.0,Dual SIM (Mini-SIM),TFT,1.8 inches (~20.5% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 1000 mAh battery,20.0,http://cdn2.gsmarena.com/vv/bigpic/celkon-c444.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4917,Maxon,MX-7990,,Yes,,2003,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67.0,Mini-SIM,65K colors,,128 x 128 pixels| 8 lines,,,,,No,,,,,No,Yes,,,No,Removable Li-Ion 900 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/ma7990.gif,GSM,,,1,Yes,,,,,,,,
4918,Samsung,Gear S,HSPA,Yes,Yes,2014,58.1 x 39.9 x 12.5 mm (2.29 x 1.57 x 0.49 in),67.0,Nano-SIM,Super AMOLED capacitive touchscreen  16M colors,2.0 inches (~53.4% screen-to-body ratio),360 x 480 pixels (~300 ppi pixel density),Tizen-based wearable platform,Dual-core 1.0 GHz Cortex-A7,Qualcomm MSM8928 Snapdragon 400,Adreno 305,No,4 GB,512 MB RAM,,,No,Yes,Yes,,No,Non-removable Li-Ion 300 mAh battery,300.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-gear-s-new.jpg,GSM,,,2,Yes,,AMOLED,,,,,,
4919,ZTE,R228,,Yes,,2011,108 x 46 x 11 mm (4.25 x 1.81 x 0.43 in),67.0,Mini-SIM,TFT,2.0 inches (~25.3% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),2 MB,,1.3 MP,No,No,Yes,,,Stereo FM radio,Removable Li-Ion 700 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/ZTE-G-R228.jpg,GSM,,,1,Yes,,,,TFT,,,,
4920,Spice,QT-95,Yes  384 kbps,Yes,,2010,111 x 59 x 11.7 mm (4.37 x 2.32 x 0.46 in),68.0,Dual SIM (Mini-SIM),TFT   256K colors,2.0 inches (~19.2% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,3.15 MP,Yes,No,Yes,,,FM radio| scheduled recording,Removable Li-Ion 1000 mAh battery,70.0,http://cdn2.gsmarena.com/vv/bigpic/spice-qt-95.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4921,Yezz,Bono 3G YZ700,Yes  384 kbps,Yes,Yes,2011,110.8 x 60 x 12.4 mm (4.36 x 2.36 x 0.49 in),68.0,Dual SIM (Mini-SIM),TFT  256K colors,2.0 inches (~18.9% screen-to-body ratio),220 x 176 pixels (~141 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot) - two slots,128 MB ,64 MB,1.3 MP,Yes,Yes,Yes,,,Stereo FM radio| recording,Removable Li-Ion 1000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/yezz-bono-3g-new.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4922,Celkon,C100,,Yes,,2011,113 x 48.5 x 15.5 mm (4.45 x 1.91 x 0.61 in),69.0,Dual SIM (Mini-SIM),TFT,1.8 inches (~18.6% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,Yes,No,No,Yes,,,Stereo FM radio,Removable Li-Ion 1000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/celkon-c100.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4923,Celkon,C347,,Yes,,2011,105 x 43 x 11 mm (4.13 x 1.69 x 0.43 in),69.0,Dual SIM (Mini-SIM),TFT,1.8 inches (~22.6% screen-to-body ratio),176 x 220 pixels (~157 ppi pixel density),,,,,microSD  up to 4 GB (dedicated slot),,,VGA,No,,Yes,,,Stereo FM radio,Removable Li-Ion 1000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/celkon-c347.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4924,verykool,i316,,Yes,,2013,89 x 44 x 16.4 mm (3.50 x 1.73 x 0.65 in),69.0,Mini-SIM,TFT,1.8 inches (~26.0% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,Yes,Yes,,,FM radio,Removable Li-Ion 800 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i316.jpg,GSM,,,1,Yes,,,,TFT,,,,
4925,Bird,S299,,Yes,,2005,104 x 44 x 14 mm (4.09 x 1.73 x 0.55 in),70.0,Mini-SIM,CSTN  Mono,,112 x 80 pixels,,,,,No,,,,,No,Yes,,,FM radio,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/bird-s299.gif,GSM,,,1,Yes,,,,,,,,
4926,LG,KG330,,Yes,,2006,106 x 47 x 16 mm (4.17 x 1.85 x 0.63 in),70.0,Mini-SIM,TFT  256K colors,2.0 inches (~25.3% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,Yes,,,1.3 MP| LED flash,No,No,Yes,,,FM radio,Removable Li-Ion 1000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/lg-kg330.gif,GSM,,,1,Yes,,,,TFT,,,,
4927,LG,KG320,,Yes,,2006,96 x 46 x 9.9 mm (3.78 x 1.81 x 0.39 in),70.0,Mini-SIM,TFT  256K colors,1.8 inches (~23.1% screen-to-body ratio),176 x 220 pixels (~157 ppi pixel density),,,,,No,128 MB,,1.3 MP| LED flash,No,No,Yes,,,No,Removable Li-Ion battery,110.0,http://cdn2.gsmarena.com/vv/bigpic/lg-kg320.gif,GSM,,,1,Yes,,,,TFT,,,,
4928,LG,KG225,,Yes,,2006,84.5 x 45 x 22.2 mm (3.33 x 1.77 x 0.87 in),70.0,Mini-SIM,CSTN  65K colors,,128 x 128 pixels,,,,,No,,,VGA,No,No,Yes,,,No,Removable Li-Ion battery,80.0,http://cdn2.gsmarena.com/vv/bigpic/lg-kg225.gif,GSM,,,1,Yes,,,,,,,,
4929,NEC,N200,,Yes,,2005,70 x 51 x 18.6 mm (2.76 x 2.01 x 0.73 in),70.0,Mini-SIM,TFT  65K colors,,128 x 160 pixels,,,,,No,,,VGA,No,No,Yes,,,No,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/nen200.gif,GSM,,,1,Yes,,,,TFT,,,,
4930,NEC,N923,,Yes,,2004,85 x 54 x 9.5 mm (3.35 x 2.13 x 0.37 in),70.0,Mini-SIM,TFT  65K colors,,120 x 160 pixels,,,,,No,2.7 MB,,VGA,No,No,Yes,,,No,Removable Li-Ion 300 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/nen923.gif,GSM,,,1,Yes,,,,TFT,,,,
4931,NEC,N920,,Yes,,2004,85 x 54 x 9.6 mm (3.35 x 2.13 x 0.38 in),70.0,Mini-SIM,TFT  65K colors,,128 x 160 pixels,,,,,No,2 MB,,VGA| LED flash,No,No,Yes,,,No,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/nen920.gif,GSM,,,1,Yes,,,,TFT,,,,
4932,Neonode,N2,,Yes,,2007,77 x 47 x 14.7 mm (3.03 x 1.85 x 0.58 in),70.0,Mini-SIM,TFT touchscreen  65K colors,2.0 inches (~34.8% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,miniSD  1 GB included,,,2 MP,No,No,Yes,,,No,Removable Li-Ion battery,410.0,http://cdn2.gsmarena.com/vv/bigpic/neonode-n2.gif,GSM,,,1,Yes,,,,TFT,,,,
4933,Philips,E1500,,Yes,,2013,107 x 46 x 15 mm (4.21 x 1.81 x 0.59 in),70.0,Dual SIM (Mini-SIM),TFT,1.77 inches (~20.0% screen-to-body ratio),128 x 160 pixels (~116 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),,,,,Yes,Yes,,,FM radio,Removable Li-Ion 800 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/philips-e1500-1.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4934,Spice,M-5900 Flo TV Pro,,Yes,,2012,114 x 62 x 13.6 mm (4.49 x 2.44 x 0.54 in),70.0,Dual SIM (Mini-SIM),TFT touchscreen  256K colors,3.5 inches (~51.6% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,,Yes,,,FM radio| recording,Removable Li-Ion 1000 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/spice-flo-tv-pro.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4935,Unnecto,Primo 3G,HSPA,Yes,,2013,108 x 46 x 13.2 mm (4.25 x 1.81 x 0.52 in),70.0,Single SIM or Dual SIM (dual stand-by),TFT,1.8 inches (~20.5% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),256 MB ,1 GB,0.8 MP,No,Yes,Yes,,,FM radio,Li-Ion 600 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/unnecto-primo-3g.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4936,Unnecto,Primo,,Yes,,2013,108 x 46 x 13.2 mm (4.25 x 1.81 x 0.52 in),70.0,Single SIM or Dual SIM (dual stand-by),TFT,1.8 inches (~20.5% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),32 MB ,32 MB,Yes,No,Yes,Yes,,,FM radio,Li-Ion 600 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/unnecto-primo.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4937,verykool,i315N,,Yes,,2012,80 x 38 x 22 mm (3.15 x 1.50 x 0.87 in),70.0,Mini-SIM,TFT,1.44 inches (~22.0% screen-to-body ratio),128 x 128 pixels (~126 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,Yes,Yes,,,FM radio,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i315n.jpg,GSM,,,1,Yes,,,,TFT,,,,
4938,Lenovo,E156,,Yes,,2011,101 x 44.3 x 14.4 mm (3.98 x 1.74 x 0.57 in),70.2,Dual SIM (Mini-SIM| dual stand-by),TFT  65K colors,1.5 inches (~16.2% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,Mediatek MT6223D,,microSD  up to 8 GB (dedicated slot),,,,,No,Yes,,,FM radio| recording,Removable Li-Ion 650 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/lenovo-e156.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4939,NIU,Niutek 3G 3.5 N209,HSPA 14.4/5.76 Mbps,Yes,Yes,2012,117 x 63 x 12 mm (4.61 x 2.48 x 0.47 in),71.0,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,3.5 inches (~49.5% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.0 (Ice Cream Sandwich),1.0 GHz Cortex-A9,Mediatek MT6575,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),256 MB,512 MB RAM,3.2 MP| LED flash,VGA,Yes,Yes,Yes,,Stereo FM radio,Removable Li-Ion 1200 mAh battery,100.0,http://cdn2.gsmarena.com/vv/bigpic/niu-tek-3g-35.jpg,GSM,,Yes,1,Yes,,,,TFT,,Yes,,
4940,NIU,Niutek 3G 4.0 N309,HSPA 14.4/5.76 Mbps,Yes,Yes,2012,123.5 x 65 x 10.5 mm (4.86 x 2.56 x 0.41 in),71.0,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,4.0 inches (~56.7% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 2.3 (Gingerbread),1.0 GHz Cortex-A9,Mediatek MT6575,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),512 MB,512 MB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Yes,,Stereo FM radio,Removable Li-Ion 1650 mAh battery,150.0,http://cdn2.gsmarena.com/vv/bigpic/niu-niutek-3g-4.jpg,GSM,,Yes,1,Yes,,,,TFT,,Yes,,
4941,NIU,Pana 3G TV N206,HSPA 14.4/5.76 Mbps,Yes,Yes,2012,103.5 x 56.1 x 14 mm (4.07 x 2.21 x 0.55 in),71.0,Dual SIM (Mini-SIM),TFT  256K colors,2.0 inches (~21.7% screen-to-body ratio),220 x 176 pixels (~141 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),128 MB ,32 MB,2 MP| LED flash,VGA,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 800 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/niu-panna-3g-tv.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4942,Yezz,Andy 3G 3.5 YZ1110,HSPA 14.4/5.76 Mbps,Yes,Yes,2012,117 x 63 x 12 mm (4.61 x 2.48 x 0.47 in),71.0,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,3.5 inches (~49.5% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.0 (Ice Cream Sandwich),1.0 GHz Cortex-A9,Mediatek MT6575,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,3.2 MP| LED flash,VGA,Yes,Yes,Yes,,Stereo FM radio,Removable Li-Ion 1200 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/yezz-andy-3g-35-new.jpg,GSM,,Yes,1,Yes,,,,TFT,,Yes,,
4943,Yezz,Andy 3G 4.0 YZ1120,HSPA 14.4/5.76 Mbps,Yes,Yes,2012,123.5 x 65 x 10.5 mm (4.86 x 2.56 x 0.41 in),71.0,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,4.0 inches (~56.7% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 2.3 (Gingerbread),1.0 GHz Cortex-A9,Mediatek MT6575,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),512 MB,512 MB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Yes,,Stereo FM radio,Removable Li-Ion 1650 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/yezz-andy-3g40-yz1120-new.jpg,GSM,,Yes,1,Yes,,,,TFT,,Yes,,
4944,Yezz,Andy 3G 2.8 YZ11,HSPA 14.4/5.76 Mbps,Yes,Yes,2012,107.5 x 57.7 x 14.9 mm (4.23 x 2.27 x 0.59 in),71.0,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,2.8 inches (~39.1% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Android 2.3 (Gingerbread),650 MHz Cortex-A9,Mediatek MT6573,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,3.2 MP,VGA,Yes,Yes,Yes,,Stereo FM radio,Removable Li-Ion 1000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/yezz-andy-3g-new.jpg,GSM,,Yes,1,Yes,,,,TFT,,Yes,,
4945,Yezz,Andy YZ1100,,Yes,Yes,2011,107.5 x 57.7 x 14.9 mm (4.23 x 2.27 x 0.59 in),71.0,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,3.2 inches (~49.2% screen-to-body ratio),320 x 480 pixels (~180 ppi pixel density),Android 2.2.1 (Froyo),416 MHz ARM9,Mediatek MT6516,,microSD  up to 32 GB (dedicated slot),512 MB,128 MB RAM,2 MP,No,Yes,Yes,Yes,,Stereo FM radio,Removable Li-Ion 1100 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/yezz-andy-new.jpg,GSM,,Yes,1,Yes,,,,TFT,,Yes,,
4946,alcatel,2007,,Yes,,2015,119 x 50 x 9.8 mm (4.69 x 1.97 x 0.39 in),72.0,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),TFT  256K colors,2.4 inches (~30.0% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,No,,16 MB RAM,3.15 MP,No,No,Yes,,,FM radio| RDS,Removable Li-Ion 750 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-2007.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
4947,LG,GB220,,Yes,Yes,2009,105 x 46 x 14 mm (4.13 x 1.81 x 0.55 in),72.0,Mini-SIM,TFT  65K colors,1.76 inches (~20.2% screen-to-body ratio),176 x 220 pixels (~160 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),6 MB,,1.3 MP,No,No,Yes,,,FM radio| recording,Removable Li-Ion 800 mAh battery,50.0,http://cdn2.gsmarena.com/vv/bigpic/lg-gb220-new.jpg,GSM,,,1,Yes,,,,TFT,,,,
4948,NEC,N930,,Yes,,2004,85.5 x 54 x 11.9 mm (3.37 x 2.13 x 0.47 in),72.0,Mini-SIM,TFT tochscreen  65K colors,,176 x 220 pixels,,,,,No,2 MB,,VGA| LED flash,No,No,Yes,,,No,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/nec-n930.gif,GSM,,,1,Yes,,,,TFT,,,,
4949,Samsung,E1225 Dual Sim Shift,,Yes,Yes,2010,109.1 x 45.5 x 13.7 mm (4.30 x 1.79 x 0.54 in),72.4,Dual SIM (Mini-SIM),TFT  65K colors,1.8 inches (~20.5% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,No,,,,,Yes,Yes,,,FM radio,Removable Li-Ion 800 mAh battery,50.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-e1225-dual-sim-shift.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
